mach, alpha, cpTotal, clPowerOff, cdPowerOff, clPowerOn, cdPowerOn
1.000e-02, 0.000e+00, 3.246e+01, 0.000e+00, 4.650e-01, 0.000e+00, 4.620e-01
1.000e-02, 1.745e-02, 3.246e+01, 8.800e-02, 4.670e-01, 8.800e-02, 4.640e-01
1.000e-02, 3.491e-02, 3.246e+01, 1.760e-01, 4.720e-01, 1.760e-01, 4.690e-01
1.000e-02, 5.236e-02, 3.246e+01, 2.630e-01, 4.810e-01, 2.640e-01, 4.780e-01
1.000e-02, 6.981e-02, 3.246e+01, 3.510e-01, 4.930e-01, 3.510e-01, 4.900e-01
1.000e-02, 8.727e-02, 3.246e+01, 4.380e-01, 5.090e-01, 4.380e-01, 5.060e-01
1.000e-02, 1.047e-01, 3.246e+01, 5.240e-01, 5.280e-01, 5.240e-01, 5.250e-01
1.000e-02, 1.222e-01, 3.246e+01, 6.100e-01, 5.510e-01, 6.100e-01, 5.470e-01
1.000e-02, 1.396e-01, 3.246e+01, 6.950e-01, 5.770e-01, 6.950e-01, 5.730e-01
1.000e-02, 1.571e-01, 3.246e+01, 7.790e-01, 6.060e-01, 7.800e-01, 6.030e-01
1.000e-02, 1.745e-01, 3.246e+01, 8.630e-01, 6.390e-01, 8.630e-01, 6.360e-01
1.000e-02, 1.920e-01, 3.246e+01, 9.450e-01, 6.760e-01, 9.460e-01, 6.720e-01
1.000e-02, 2.094e-01, 3.246e+01, 1.026e+00, 7.150e-01, 1.027e+00, 7.120e-01
1.000e-02, 2.269e-01, 3.246e+01, 1.106e+00, 7.580e-01, 1.107e+00, 7.550e-01
1.000e-02, 2.443e-01, 3.246e+01, 1.185e+00, 8.050e-01, 1.186e+00, 8.010e-01
1.000e-02, 2.618e-01, 3.246e+01, 1.263e+00, 8.550e-01, 1.264e+00, 8.510e-01
2.000e-02, 0.000e+00, 3.246e+01, 0.000e+00, 4.580e-01, 0.000e+00, 4.540e-01
2.000e-02, 1.745e-02, 3.246e+01, 8.800e-02, 4.590e-01, 8.800e-02, 4.560e-01
2.000e-02, 3.491e-02, 3.246e+01, 1.760e-01, 4.650e-01, 1.760e-01, 4.610e-01
2.000e-02, 5.236e-02, 3.246e+01, 2.640e-01, 4.730e-01, 2.640e-01, 4.700e-01
2.000e-02, 6.981e-02, 3.246e+01, 3.510e-01, 4.860e-01, 3.510e-01, 4.820e-01
2.000e-02, 8.727e-02, 3.246e+01, 4.380e-01, 5.010e-01, 4.390e-01, 4.980e-01
2.000e-02, 1.047e-01, 3.246e+01, 5.250e-01, 5.200e-01, 5.250e-01, 5.170e-01
2.000e-02, 1.222e-01, 3.246e+01, 6.110e-01, 5.430e-01, 6.110e-01, 5.400e-01
2.000e-02, 1.396e-01, 3.246e+01, 6.960e-01, 5.690e-01, 6.970e-01, 5.660e-01
2.000e-02, 1.571e-01, 3.246e+01, 7.800e-01, 5.990e-01, 7.810e-01, 5.950e-01
2.000e-02, 1.745e-01, 3.246e+01, 8.640e-01, 6.320e-01, 8.650e-01, 6.280e-01
2.000e-02, 1.920e-01, 3.246e+01, 9.470e-01, 6.680e-01, 9.470e-01, 6.640e-01
2.000e-02, 2.094e-01, 3.246e+01, 1.028e+00, 7.080e-01, 1.029e+00, 7.040e-01
2.000e-02, 2.269e-01, 3.246e+01, 1.108e+00, 7.510e-01, 1.109e+00, 7.470e-01
2.000e-02, 2.443e-01, 3.246e+01, 1.187e+00, 7.970e-01, 1.188e+00, 7.940e-01
2.000e-02, 2.618e-01, 3.246e+01, 1.265e+00, 8.470e-01, 1.266e+00, 8.430e-01
3.000e-02, 0.000e+00, 3.246e+01, 0.000e+00, 4.770e-01, 0.000e+00, 4.740e-01
3.000e-02, 1.745e-02, 3.246e+01, 8.800e-02, 4.790e-01, 8.800e-02, 4.760e-01
3.000e-02, 3.491e-02, 3.246e+01, 1.750e-01, 4.840e-01, 1.750e-01, 4.810e-01
3.000e-02, 5.236e-02, 3.246e+01, 2.630e-01, 4.930e-01, 2.630e-01, 4.900e-01
3.000e-02, 6.981e-02, 3.246e+01, 3.500e-01, 5.050e-01, 3.500e-01, 5.020e-01
3.000e-02, 8.727e-02, 3.246e+01, 4.370e-01, 5.210e-01, 4.370e-01, 5.170e-01
3.000e-02, 1.047e-01, 3.246e+01, 5.230e-01, 5.400e-01, 5.230e-01, 5.370e-01
3.000e-02, 1.222e-01, 3.246e+01, 6.080e-01, 5.630e-01, 6.090e-01, 5.590e-01
3.000e-02, 1.396e-01, 3.246e+01, 6.930e-01, 5.890e-01, 6.940e-01, 5.850e-01
3.000e-02, 1.571e-01, 3.246e+01, 7.770e-01, 6.180e-01, 7.780e-01, 6.150e-01
3.000e-02, 1.745e-01, 3.246e+01, 8.610e-01, 6.510e-01, 8.610e-01, 6.480e-01
3.000e-02, 1.920e-01, 3.246e+01, 9.430e-01, 6.880e-01, 9.430e-01, 6.840e-01
3.000e-02, 2.094e-01, 3.246e+01, 1.024e+00, 7.280e-01, 1.025e+00, 7.240e-01
3.000e-02, 2.269e-01, 3.246e+01, 1.104e+00, 7.710e-01, 1.104e+00, 7.670e-01
3.000e-02, 2.443e-01, 3.246e+01, 1.182e+00, 8.170e-01, 1.183e+00, 8.140e-01
3.000e-02, 2.618e-01, 3.246e+01, 1.259e+00, 8.670e-01, 1.260e+00, 8.630e-01
4.000e-02, 0.000e+00, 3.246e+01, 0.000e+00, 4.860e-01, 0.000e+00, 4.820e-01
4.000e-02, 1.745e-02, 3.246e+01, 8.800e-02, 4.880e-01, 8.800e-02, 4.840e-01
4.000e-02, 3.491e-02, 3.246e+01, 1.750e-01, 4.930e-01, 1.750e-01, 4.890e-01
4.000e-02, 5.236e-02, 3.246e+01, 2.620e-01, 5.020e-01, 2.620e-01, 4.980e-01
4.000e-02, 6.981e-02, 3.246e+01, 3.490e-01, 5.140e-01, 3.490e-01, 5.100e-01
4.000e-02, 8.727e-02, 3.246e+01, 4.360e-01, 5.300e-01, 4.360e-01, 5.260e-01
4.000e-02, 1.047e-01, 3.246e+01, 5.220e-01, 5.490e-01, 5.220e-01, 5.450e-01
4.000e-02, 1.222e-01, 3.246e+01, 6.070e-01, 5.710e-01, 6.080e-01, 5.680e-01
4.000e-02, 1.396e-01, 3.246e+01, 6.920e-01, 5.980e-01, 6.930e-01, 5.940e-01
4.000e-02, 1.571e-01, 3.246e+01, 7.760e-01, 6.270e-01, 7.770e-01, 6.240e-01
4.000e-02, 1.745e-01, 3.246e+01, 8.590e-01, 6.600e-01, 8.600e-01, 6.570e-01
4.000e-02, 1.920e-01, 3.246e+01, 9.410e-01, 6.970e-01, 9.420e-01, 6.930e-01
4.000e-02, 2.094e-01, 3.246e+01, 1.022e+00, 7.360e-01, 1.023e+00, 7.330e-01
