# 2024-10-19 21:30:32
# hpr-sim v0.0.0
# Input: input\unit_test.yml
# Run: 0/5
time,thrust,massEng,mass,gravity,temperature,pressure,density,dynamicPressure,mach,alphaT,dragCoeff,dragForce,liftForce,forceZ,linAccZ,linVelZ,linPosZ,isBurnout
s,N,kg,kg,m/s^2,K,Pa,kg/m^3,Pa,,rad,,N,N,N,m/s^2,m/s,m,
0.000,0.000,1.223,3.444,9.795,288.150,101325.000,1.225,0.000,0.000,0.000,0.462,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.010,233.177,1.222,3.444,9.795,288.150,101324.993,1.225,0.033,0.001,0.000,0.462,0.000,0.000,199.446,57.917,0.232,0.001,0.000
0.020,375.017,1.221,3.442,9.795,288.150,101324.920,1.225,0.671,0.003,0.000,0.462,0.003,0.000,341.300,99.151,1.046,0.007,0.000
0.030,381.870,1.219,3.440,9.795,288.150,101324.733,1.225,2.635,0.006,0.000,0.462,0.010,0.000,348.171,101.202,2.074,0.022,0.000
0.040,374.958,1.217,3.439,9.795,288.150,101324.424,1.225,5.782,0.009,0.000,0.462,0.022,0.000,341.278,99.250,3.073,0.048,0.000
0.050,372.504,1.216,3.437,9.795,288.149,101323.996,1.225,10.104,0.012,0.000,0.460,0.038,0.000,338.841,98.593,4.061,0.084,0.000
0.060,371.494,1.214,3.435,9.795,288.149,101323.450,1.225,15.595,0.015,0.000,0.458,0.058,0.000,337.848,98.356,5.046,0.129,0.000
0.070,373.132,1.212,3.433,9.795,288.149,101322.785,1.225,22.278,0.018,0.000,0.456,0.082,0.000,339.504,98.890,6.031,0.185,0.000
0.080,379.024,1.210,3.431,9.795,288.148,101322.002,1.225,30.250,0.021,0.000,0.455,0.112,0.000,345.414,100.666,7.028,0.250,0.000
0.090,387.628,1.208,3.429,9.795,288.148,101321.098,1.225,39.657,0.024,0.000,0.461,0.148,0.000,354.037,103.236,8.047,0.325,0.000
0.100,397.317,1.206,3.428,9.795,288.147,101320.070,1.225,50.643,0.027,0.000,0.467,0.192,0.000,363.745,106.125,9.093,0.411,0.000
0.110,406.463,1.204,3.426,9.795,288.147,101318.915,1.225,63.325,0.030,0.000,0.474,0.243,0.000,372.909,108.860,10.168,0.507,0.000
0.120,413.438,1.202,3.424,9.795,288.146,101317.629,1.225,77.763,0.033,0.000,0.476,0.300,0.000,379.903,110.964,11.268,0.614,0.000
0.130,418.176,1.200,3.422,9.795,288.145,101316.210,1.225,93.942,0.036,0.000,0.479,0.365,0.000,384.660,112.418,12.385,0.733,0.000
0.140,422.341,1.198,3.420,9.795,288.144,101314.657,1.225,111.876,0.040,0.000,0.482,0.437,0.000,388.844,113.706,13.516,0.862,0.000
0.150,426.002,1.196,3.418,9.795,288.143,101312.967,1.225,131.593,0.043,0.000,0.484,0.516,0.000,392.525,114.850,14.658,1.003,0.000
0.160,429.214,1.194,3.416,9.795,288.142,101311.139,1.225,153.117,0.046,0.000,0.485,0.602,0.000,395.757,115.864,15.812,1.155,0.000
0.170,432.032,1.192,3.414,9.795,288.141,101309.172,1.225,176.469,0.050,0.000,0.487,0.697,0.000,398.595,116.765,16.975,1.319,0.000
0.180,434.509,1.190,3.412,9.795,288.140,101307.065,1.225,201.667,0.053,0.000,0.488,0.797,0.000,401.093,117.568,18.147,1.495,0.000
0.190,436.701,1.188,3.410,9.795,288.139,101304.818,1.225,228.724,0.057,0.000,0.488,0.906,0.000,403.305,118.289,19.326,1.682,0.000
0.200,438.662,1.186,3.407,9.795,288.138,101302.428,1.225,257.656,0.060,0.000,0.489,1.021,0.000,405.286,118.943,20.512,1.881,0.000
